"Date","Price","Open","High","Low","Change %"
"Jun 24, 2014","96.260","96.240","96.760","95.620","-0.07%"
"Jun 23, 2014","96.330","96.140","96.930","95.590","0.03%"
"Jun 20, 2014","96.300","96.350","97.030","95.710","0.17%"
"Jun 19, 2014","96.140","95.970","96.800","95.270","-0.51%"
"Jun 18, 2014","96.630","96.450","97.350","95.590","0.60%"
"Jun 17, 2014","96.050","96.560","97.290","95.540","-0.22%"
"Jun 16, 2014","96.260","95.710","96.860","95.220","0.66%"
"Jun 13, 2014","95.630","94.880","96.180","94.400","0.86%"
"Jun 12, 2014","94.810","94.880","95.480","94.290","-0.03%"
"Jun 11, 2014","94.840","94.910","95.460","94.260","-0.03%"
"Jun 10, 2014","94.870","94.800","95.440","94.270","0.15%"
"Jun 09, 2014","94.730","94.540","94.740","93.860","0.05%"
"Jun 06, 2014","94.680","94.620","95.400","94.070","-0.27%"
"Jun 05, 2014","94.940","94.830","95.470","94.290","0.01%"
"Jun 04, 2014","94.930","95.070","95.620","94.230","-0.11%"
"Jun 03, 2014","95.030","94.670","95.570","94.080","0.40%"
"Jun 02, 2014","94.650","94.830","95.330","94.000","0.08%"
"May 30, 2014","94.570","94.450","95.120","93.790","0.12%"
"May 29, 2014","94.460","94.270","95.010","93.570","0.18%"
"May 28, 2014","94.290","94.430","95.240","93.610","-0.19%"
"May 27, 2014","94.470","94.080","95.050","93.570","0.55%"
"May 26, 2014","93.950","93.500","94.770","92.950","0.33%"
"May 23, 2014","93.640","93.540","94.180","92.840","0.10%"
"May 22, 2014","93.550","93.760","94.400","92.970","-0.53%"
"May 21, 2014","94.050","93.920","94.690","93.320","0.25%"
"May 20, 2014","93.820","93.730","94.550","93.120","0.07%"
"May 19, 2014","93.750","93.680","94.260","92.900","-0.34%"
"May 16, 2014","94.070","94.370","95.040","93.290","-0.84%"
"May 15, 2014","94.870","95.200","95.860","94.050","-0.66%"
"May 14, 2014","95.500","95.000","95.500","95.000","0.00%"
"May 13, 2014","95.500","95.520","96.360","94.850","-0.61%"
"May 12, 2014","96.090","95.970","96.680","94.710","0.02%"
"May 09, 2014","96.070","96.100","96.650","95.380","-0.04%"
"May 08, 2014","96.110","95.920","96.640","95.380","-0.12%"
"May 07, 2014","96.230","96.060","96.720","95.430","-0.35%"
"May 06, 2014","96.570","96.100","96.940","95.600","0.23%"
"May 05, 2014","96.350","96.130","96.880","95.510","0.08%"
"May 02, 2014","96.270","96.350","96.910","95.650","-0.25%"
"May 01, 2014","96.510","96.010","96.510","96.010","0.00%"
"Apr 30, 2014","96.510","96.560","97.140","95.940","-0.18%"
"Apr 29, 2014","96.680","96.980","97.510","96.090","-0.37%"
"Apr 28, 2014","97.040","96.990","97.680","96.180","0.07%"
"Apr 25, 2014","96.970","97.700","98.330","96.370","-0.77%"
"Apr 24, 2014","97.720","97.220","97.720","97.220","0.00%"
"Apr 23, 2014","97.720","97.410","98.400","96.890","0.50%"
"Apr 22, 2014","97.230","97.070","97.910","96.520","0.29%"
"Apr 21, 2014","96.950","96.480","97.440","95.990","0.50%"
"Apr 18, 2014","96.470","95.970","96.470","95.970","0.00%"
"Apr 17, 2014","96.470","96.460","97.290","95.930","-0.13%"
"Apr 16, 2014","96.600","96.480","97.170","95.820","0.24%"
"Apr 15, 2014","96.370","96.560","97.060","95.830","0.08%"
"Apr 14, 2014","96.290","95.790","96.290","95.790","0.00%"
"Apr 11, 2014","96.290","96.510","97.040","95.720","0.18%"
"Apr 10, 2014","96.120","96.060","96.960","95.560","-0.11%"
"Apr 09, 2014","96.230","95.950","96.740","95.230","0.04%"
"Apr 08, 2014","96.190","95.690","96.190","95.690","0.00%"
"Apr 07, 2014","96.190","95.840","96.870","95.140","0.06%"
"Apr 04, 2014","96.130","96.560","97.120","95.620","-0.15%"
"Apr 03, 2014","96.270","95.920","96.930","95.240","0.44%"
"Apr 02, 2014","95.850","95.700","96.360","94.860","-0.01%"
"Apr 01, 2014","95.860","95.360","95.860","95.360","0.00%"
"Mar 31, 2014","95.860","95.360","95.860","95.360","0.00%"
"Mar 28, 2014","95.860","96.290","96.790","95.000","-0.67%"
"Mar 27, 2014","96.510","96.380","97.060","95.700","0.29%"
"Mar 26, 2014","96.230","96.480","96.980","95.600","-0.56%"
"Mar 25, 2014","96.770","96.960","97.460","96.190","-0.49%"
"Mar 24, 2014","97.250","97.360","97.860","96.530","-0.19%"
"Mar 21, 2014","97.440","97.900","97.930","96.940","-0.72%"
"Mar 20, 2014","98.150","98.190","98.690","97.210","0.64%"
"Mar 19, 2014","97.530","97.710","98.370","96.970","-0.39%"
"Mar 18, 2014","97.910","97.630","98.420","96.900","0.00%"
"Mar 17, 2014","97.910","97.410","97.910","97.410","0.00%"
"Mar 14, 2014","97.910","98.260","98.970","97.190","0.03%"
"Mar 13, 2014","97.880","97.630","98.390","96.960","-0.07%"
"Mar 12, 2014","97.950","97.790","98.520","97.170","0.45%"
"Mar 11, 2014","97.510","97.340","98.050","96.470","0.14%"
"Mar 10, 2014","97.370","98.000","98.630","96.760","-0.38%"
"Mar 07, 2014","97.740","97.620","98.370","97.010","-0.04%"
"Mar 06, 2014","97.780","98.450","98.950","97.270","-1.04%"
"Mar 05, 2014","98.810","99.040","99.550","98.170","-0.15%"
"Mar 04, 2014","98.960","99.390","99.920","98.420","-0.31%"
"Mar 03, 2014","99.270","99.120","99.840","98.450","0.47%"
"Feb 28, 2014","98.810","99.360","99.420","98.310","-0.37%"
"Feb 27, 2014","99.180","98.680","99.180","98.680","0.00%"
"Feb 26, 2014","99.180","99.140","99.780","98.550","0.08%"
"Feb 25, 2014","99.100","99.150","99.760","98.530","-0.22%"
"Feb 24, 2014","99.320","99.360","99.950","98.620","-0.08%"
"Feb 21, 2014","99.400","99.490","99.990","98.780","-0.17%"
"Feb 20, 2014","99.570","99.790","100.400","99.030","0.04%"
"Feb 19, 2014","99.530","99.030","99.530","99.030","0.00%"
"Feb 18, 2014","99.530","99.220","100.180","98.730","0.59%"
"Feb 17, 2014","98.950","99.140","99.830","98.420","-0.14%"
"Feb 14, 2014","99.090","99.580","100.280","98.560","-0.79%"
"Feb 13, 2014","99.880","99.200","100.440","98.710","0.53%"
"Feb 12, 2014","99.350","99.360","99.970","98.770","-0.21%"
"Feb 11, 2014","99.560","99.760","100.420","99.000","-0.34%"
"Feb 10, 2014","99.900","99.440","100.480","98.840","0.24%"
"Feb 07, 2014","99.660","99.680","100.360","99.110","-0.13%"
"Feb 06, 2014","99.790","99.840","100.070","99.290","-0.33%"
"Feb 05, 2014","100.120","99.870","100.680","99.290","0.07%"
"Feb 04, 2014","100.050","100.500","101.000","99.510","-0.06%"
"Feb 03, 2014","100.110","100.320","100.960","99.600","-0.19%"
"Jan 31, 2014","100.300","99.840","100.900","99.270","0.20%"
"Jan 30, 2014","100.100","100.620","101.120","99.570","0.23%"
"Jan 29, 2014","99.870","99.730","100.500","98.870","-0.15%"
"Jan 28, 2014","100.020","101.090","101.590","99.510","-0.94%"
"Jan 27, 2014","100.970","100.610","101.810","99.750","0.70%"
"Jan 24, 2014","100.270","99.090","100.870","98.600","1.19%"
"Jan 23, 2014","99.090","98.900","99.770","98.400","0.18%"
"Jan 22, 2014","98.910","99.040","99.730","98.330","-0.11%"
"Jan 21, 2014","99.020","98.460","99.600","97.830","0.43%"
"Jan 20, 2014","98.600","98.670","99.170","97.970","0.13%"
"Jan 17, 2014","98.470","98.370","98.980","97.600","0.01%"
"Jan 16, 2014","98.460","98.640","99.230","97.910","-0.01%"
"Jan 15, 2014","98.470","98.660","99.240","97.780","0.03%"
"Jan 14, 2014","98.440","97.940","98.440","97.940","0.00%"
"Jan 13, 2014","98.440","98.560","99.120","97.780","-0.62%"
"Jan 10, 2014","99.050","99.200","99.700","98.420","-0.27%"
"Jan 09, 2014","99.320","99.550","100.080","98.660","0.00%"
"Jan 08, 2014","99.320","99.520","99.630","98.820","-0.37%"
"Jan 07, 2014","99.690","99.840","100.450","99.180","-0.01%"
"Jan 06, 2014","99.700","99.760","100.440","99.090","0.24%"
"Jan 03, 2014","99.460","99.760","100.590","98.930","-0.17%"
"Jan 02, 2014","99.630","99.040","100.120","98.310","0.59%"
"Jan 01, 2014","99.050","98.880","99.680","98.430","0.16%"
"Dec 31, 2013","98.890","98.960","99.570","98.340","-0.17%"
"Dec 30, 2013","99.060","99.120","99.910","98.510","0.09%"
"Dec 27, 2013","98.970","99.140","99.960","98.440","-0.49%"
"Dec 26, 2013","99.460","98.960","99.960","98.450","0.60%"
"Dec 25, 2013","98.870","98.370","98.870","98.370","0.00%"
"Dec 24, 2013","98.870","98.930","99.650","98.330","-0.26%"
"Dec 23, 2013","99.130","99.310","99.810","98.430","-0.14%"
"Dec 20, 2013","99.270","99.840","100.420","98.770","-0.16%"
"Dec 19, 2013","99.430","99.600","100.470","98.830","0.08%"
"Dec 18, 2013","99.350","98.910","99.990","98.360","0.12%"
"Dec 17, 2013","99.230","98.800","99.740","98.310","0.46%"
"Dec 16, 2013","98.780","99.420","100.040","98.270","-0.63%"
"Dec 13, 2013","99.410","99.360","100.130","98.780","0.51%"
"Dec 12, 2013","98.910","98.560","99.540","97.870","0.93%"
"Dec 11, 2013","98.000","97.960","98.760","97.460","0.34%"
"Dec 10, 2013","97.670","97.570","98.570","97.070","-0.15%"
"Dec 09, 2013","97.820","97.330","98.430","96.830","-0.45%"
"Dec 06, 2013","98.260","98.620","99.220","97.750","-0.56%"
"Dec 05, 2013","98.810","98.800","99.490","97.960","-0.48%"
"Dec 04, 2013","99.290","99.900","100.060","98.790","-0.49%"
"Dec 03, 2013","99.780","99.660","100.410","99.140","0.07%"
"Dec 02, 2013","99.710","99.760","100.260","98.650","-0.20%"
"Nov 29, 2013","99.910","99.680","100.730","99.010","0.04%"
"Nov 28, 2013","99.870","99.820","100.450","99.130","0.44%"
"Nov 27, 2013","99.430","99.920","99.940","98.930","-0.58%"
"Nov 26, 2013","100.010","99.920","100.550","99.160","0.00%"
"Nov 25, 2013","100.010","100.240","100.800","99.410","-0.59%"
"Nov 22, 2013","100.600","100.640","101.410","100.050","-0.10%"
"Nov 21, 2013","100.700","100.640","101.250","99.950","0.58%"
"Nov 20, 2013","100.120","99.600","100.710","99.090","0.33%"
"Nov 19, 2013","99.790","99.540","100.310","98.500","-0.07%"
"Nov 18, 2013","99.860","100.560","101.130","99.300","-1.12%"
"Nov 15, 2013","100.990","100.490","100.990","100.490","0.00%"
"Nov 14, 2013","100.990","101.040","101.840","100.230","-0.30%"
"Nov 13, 2013","101.290","102.240","102.740","100.740","-0.65%"
"Nov 12, 2013","101.950","101.490","102.640","100.850","0.75%"
